Entity,Code,Year,Urban population living in slums
Afghanistan,AFG,2014,5144460
Afghanistan,AFG,2016,6312071
Afghanistan,AFG,2018,6700226
Angola,AGO,2000,7103383
Angola,AGO,2005,9413638
Angola,AGO,2010,9187697
Angola,AGO,2014,9379969
Angola,AGO,2016,9029056
Angola,AGO,2018,9809775
Argentina,ARG,1990,8653767
Argentina,ARG,1995,9733772
Argentina,ARG,2000,10813364
Argentina,ARG,2005,9174110
Argentina,ARG,2010,7707627
Argentina,ARG,2014,6511349
Argentina,ARG,2016,5871260
Argentina,ARG,2018,6008934
Armenia,ARM,2014,264683
Armenia,ARM,2016,172253
Armenia,ARM,2018,173352
Bangladesh,BGD,1990,17843593
Bangladesh,BGD,1995,21161289
Bangladesh,BGD,2000,23429075
Bangladesh,BGD,2005,26390013
Bangladesh,BGD,2010,27691927
Bangladesh,BGD,2014,28551390
Bangladesh,BGD,2016,27379024
Bangladesh,BGD,2018,27902525
Belarus,BLR,2016,3324014
Belarus,BLR,2018,2462913
Belize,BLZ,2014,17301
Belize,BLZ,2016,8548
Belize,BLZ,2018,8758
Benin,BEN,1990,1361448
Benin,BEN,1995,1667146
Benin,BEN,2000,1955519
Benin,BEN,2005,2323615
Benin,BEN,2010,2767036
Benin,BEN,2014,2857385
Benin,BEN,2016,2995526
Benin,BEN,2018,3195074
Bolivia,BOL,1990,2373099
Bolivia,BOL,1995,2624012
Bolivia,BOL,2000,2824358
Bolivia,BOL,2005,2985882
Bolivia,BOL,2010,3157409
Bolivia,BOL,2014,3169177
Bolivia,BOL,2016,3753612
Bolivia,BOL,2018,3822730
Bosnia and Herzegovina,BIH,2016,122290
Bosnia and Herzegovina,BIH,2018,121876
Brazil,BRA,1990,40423644
Brazil,BRA,1995,42878579
Brazil,BRA,2000,44703468
Brazil,BRA,2005,44711192
Brazil,BRA,2010,44399820
Brazil,BRA,2014,38656330
Brazil,BRA,2016,28914049
Brazil,BRA,2018,29557684
Burkina Faso,BFA,1990,959188
Burkina Faso,BFA,1995,1105331
Burkina Faso,BFA,2000,1365002
Burkina Faso,BFA,2005,1719956
Burkina Faso,BFA,2014,3116697
Burkina Faso,BFA,2016,3068889
Burkina Faso,BFA,2018,3311020
Burundi,BDI,2005,443963
Burundi,BDI,2014,671214
Burundi,BDI,2016,631437
Burundi,BDI,2018,694691
Cambodia,KHM,2005,2008031
Cambodia,KHM,2014,1834659
Cambodia,KHM,2016,1698284
Cambodia,KHM,2018,1714026
Cameroon,CMR,1990,2373188
Cameroon,CMR,1995,2871801
Cameroon,CMR,2000,3419634
Cameroon,CMR,2005,4080180
Cameroon,CMR,2010,4834847
Cameroon,CMR,2014,4627762
Cameroon,CMR,2016,4726470
Cameroon,CMR,2018,4790595
Canada,CAN,2016,2936
Canada,CAN,2018,3018
Central African Republic,CAF,1990,904384
Central African Republic,CAF,1995,1076247
Central African Republic,CAF,2000,1259230
Central African Republic,CAF,2005,1446666
Central African Republic,CAF,2010,1636655
Central African Republic,CAF,2014,1664321
Central African Republic,CAF,2016,1797038
Central African Republic,CAF,2018,1841410
Chad,TCD,1990,1227361
Chad,TCD,1995,1451101
Chad,TCD,2000,1697630
Chad,TCD,2005,2009665
Chad,TCD,2010,2346516
Chad,TCD,2014,2696108
Chad,TCD,2016,2872868
Chad,TCD,2018,3101469
Chile,CHL,2005,1263946
Chile,CHL,2014,1395370
Chile,CHL,2016,1432686
Chile,CHL,2018,1443201
China,CHN,1990,130872206
China,CHN,1995,151079239
China,CHN,2000,168968680
China,CHN,2005,182387027
China,CHN,2010,191623117
China,CHN,2014,187578097
China,CHN,2018,204121112
Colombia,COL,1990,7175999
Colombia,COL,1995,7006114
Colombia,COL,2000,6535936
Colombia,COL,2005,5803629
Colombia,COL,2010,5041812
Colombia,COL,2014,4886222
Colombia,COL,2016,10844372
Colombia,COL,2018,11152028
Comoros,COM,1990,75019
Comoros,COM,1995,87990
Comoros,COM,2000,99600
Comoros,COM,2005,117468
Comoros,COM,2014,149776
Comoros,COM,2016,158474
Comoros,COM,2018,164900
Congo,COG,2005,1179851
Congo,COG,2010,1348995
Congo,COG,2014,1445952
Congo,COG,2016,1578003
Congo,COG,2018,1677454
Costa Rica,CRI,2005,306767
Costa Rica,CRI,2014,200292
Costa Rica,CRI,2016,148531
Costa Rica,CRI,2018,154696
Cote d'Ivoire,CIV,1990,2505443
Cote d'Ivoire,CIV,1995,3177484
Cote d'Ivoire,CIV,2000,3926858
Cote d'Ivoire,CIV,2005,4665994
Cote d'Ivoire,CIV,2010,5539398
Cote d'Ivoire,CIV,2014,6216297
Cote d'Ivoire,CIV,2016,7034744
Cote d'Ivoire,CIV,2018,7650671
Cuba,CUB,2016,575527
Cuba,CUB,2018,576481
Democratic Republic of Congo,COD,2005,15688206
Democratic Republic of Congo,COD,2010,15939537
Democratic Republic of Congo,COD,2014,23274102
Democratic Republic of Congo,COD,2016,26989877
Democratic Republic of Congo,COD,2018,28966921
Denmark,DNK,2016,50
Denmark,DNK,2018,51
Djibouti,DJI,2014,455806
Djibouti,DJI,2016,472534
Djibouti,DJI,2018,481055
Dominican Republic,DOM,1990,1099132
Dominican Republic,DOM,1995,1098909
Dominican Republic,DOM,2000,1098571
Dominican Republic,DOM,2005,1078673
Dominican Republic,DOM,2010,1058265
Dominican Republic,DOM,2014,955331
Dominican Republic,DOM,2016,1222413
Dominican Republic,DOM,2018,1275146
East Asia and Pacific,,1990,284847420
East Asia and Pacific,,1995,306506510
East Asia and Pacific,,2000,321464731
East Asia and Pacific,,2005,329989209
East Asia and Pacific,,2010,331866801
East Asia and Pacific,,2014,325941892
East Asia and Pacific,,2018,364455841
Ecuador,ECU,2005,1834394
Ecuador,ECU,2014,3632864
Ecuador,ECU,2016,2126926
Ecuador,ECU,2018,2191585
Egypt,EGY,1990,12251887
Egypt,EGY,1995,10461575
Egypt,EGY,2000,8277654
Egypt,EGY,2005,5556736
Egypt,EGY,2010,4664001
Egypt,EGY,2014,4106125
Egypt,EGY,2016,2663702
Egypt,EGY,2018,2185602
El Salvador,SLV,2005,1078263
El Salvador,SLV,2014,1253018
El Salvador,SLV,2016,1003775
El Salvador,SLV,2018,1035868
Equatorial Guinea,GNQ,2005,286931
Equatorial Guinea,GNQ,2014,520678
Equatorial Guinea,GNQ,2016,571405
Equatorial Guinea,GNQ,2018,612868
Eswatini,SWZ,2014,82890
Eswatini,SWZ,2016,85456
Eswatini,SWZ,2018,86805
Ethiopia,ETH,1990,5771950
Ethiopia,ETH,1995,7533053
Ethiopia,ETH,2000,8648722
Ethiopia,ETH,2005,9804852
Ethiopia,ETH,2010,11596271
Ethiopia,ETH,2014,13771966
Ethiopia,ETH,2016,13563449
Ethiopia,ETH,2018,14582124
Fiji,FJI,2016,52042
Fiji,FJI,2018,55658
Gabon,GAB,2005,443709
Gabon,GAB,2014,610933
Gabon,GAB,2016,650807
Gabon,GAB,2018,693203
Gambia,GMB,2005,364587
Gambia,GMB,2014,412251
Gambia,GMB,2016,334807
Gambia,GMB,2018,378590
Georgia,GEO,2016,735154
Georgia,GEO,2018,745068
Germany,DEU,2016,6359
Germany,DEU,2018,6410
Ghana,GHA,1990,3526211
Ghana,GHA,1995,4015712
Ghana,GHA,2000,4412352
Ghana,GHA,2005,4685314
Ghana,GHA,2010,5039161
Ghana,GHA,2014,5511814
Ghana,GHA,2016,4740448
Ghana,GHA,2018,5072982
Greece,GRC,2016,253409
Greece,GRC,2018,254556
Grenada,GRD,2005,2254
Grenada,GRD,2014,2348
Grenada,GRD,2018,2425
Guatemala,GTM,1990,2226990
Guatemala,GTM,1995,2393487
Guatemala,GTM,2000,2527111
Guatemala,GTM,2005,2605931
Guatemala,GTM,2010,2671119
Guatemala,GTM,2014,2940092
Guatemala,GTM,2016,2468944
Guatemala,GTM,2018,2587189
Guinea,GIN,1990,1431354
Guinea,GIN,1995,1474194
Guinea,GIN,2000,1457616
Guinea,GIN,2005,1342885
Guinea,GIN,2014,1682011
Guinea,GIN,2016,2047925
Guinea,GIN,2018,2247749
Guinea-Bissau,GNB,2005,426457
Guinea-Bissau,GNB,2014,581036
Guinea-Bissau,GNB,2016,598159
Guinea-Bissau,GNB,2018,604647
Guyana,GUY,2005,69960
Guyana,GUY,2010,66268
Guyana,GUY,2014,66742
Guyana,GUY,2016,66593
Guyana,GUY,2018,64459
Haiti,HTI,1990,1874080
Haiti,HTI,1995,2357355
Haiti,HTI,2000,2814249
Haiti,HTI,2005,2748401
Haiti,HTI,2010,3313501
Haiti,HTI,2014,4037562
Haiti,HTI,2016,3814367
Haiti,HTI,2018,4051976
Honduras,HND,2005,1264757
Honduras,HND,2014,1342562
Honduras,HND,2016,2090421
Honduras,HND,2018,2112999
Hungary,HUN,2016,944692
Hungary,HUN,2018,948595
India,IND,1990,122479863
India,IND,1995,123618963
India,IND,2000,121313942
India,IND,2005,116755305
India,IND,2010,112238370
India,IND,2014,100696162
India,IND,2016,155583466
India,IND,2018,162027067
Indonesia,IDN,1990,28185606
Indonesia,IDN,1995,30265597
Indonesia,IDN,2000,30560973
Indonesia,IDN,2005,27341980
Indonesia,IDN,2010,27763102
Indonesia,IDN,2014,29274492
Indonesia,IDN,2016,43634406
Indonesia,IDN,2018,45315151
Iran,IRN,2016,14048868
Iran,IRN,2018,15500479
Iraq,IRQ,1990,2052026
Iraq,IRQ,1995,2342123
Iraq,IRQ,2000,2720040
Iraq,IRQ,2005,9775061
Iraq,IRQ,2010,10851772
Iraq,IRQ,2014,11330401
Iraq,IRQ,2016,11907102
Iraq,IRQ,2018,12377989
Jamaica,JAM,2005,875448
Jamaica,JAM,2014,949466
Jamaica,JAM,2016,957566
Jamaica,JAM,2018,932985
Jordan,JOR,2005,724085
Jordan,JOR,2010,1225258
Jordan,JOR,2014,1035475
Jordan,JOR,2016,1824560
Jordan,JOR,2018,2121526
Kenya,KEN,1990,2181392
Kenya,KEN,1995,2779085
Kenya,KEN,2000,3484398
Kenya,KEN,2005,4350268
Kenya,KEN,2010,5419158
Kenya,KEN,2014,6595805
Kenya,KEN,2016,5954279
Kenya,KEN,2018,6459507
Kyrgyzstan,KGZ,2016,211966
Kyrgyzstan,KGZ,2018,222945
Laos,LAO,2005,1239975
Laos,LAO,2014,677317
Laos,LAO,2016,480379
Laos,LAO,2018,521551
Latin America and Caribbean,,1990,111028056
Latin America and Caribbean,,1995,116248358
Latin America and Caribbean,,2000,119159667
Latin America and Caribbean,,2005,109241341
Latin America and Caribbean,,2014,103599931
Latin America and Caribbean,,2016,102911180
Latin America and Caribbean,,2018,107180506
Lebanon,LBN,2005,2161380
Lebanon,LBN,2014,2923899
Lebanon,LBN,2018,3713020
Lesotho,LSO,2005,155885
Lesotho,LSO,2010,265741
Lesotho,LSO,2014,275110
Lesotho,LSO,2016,338403
Lesotho,LSO,2018,318147
Liberia,LBR,2010,1270773
Liberia,LBR,2014,1414827
Liberia,LBR,2016,1620446
Liberia,LBR,2018,1732863
Low and middle income,,1990,716065205
Low and middle income,,1995,762959126
Low and middle income,,2000,796495489
Low and middle income,,2005,827648079
Low and middle income,,2010,871004487
Low and middle income,,2014,866000606
Low and middle income,,2016,1027294181
Low and middle income,,2018,995495345
Low income,,2005,86343116
Low income,,2014,120720180
Low income,,2016,126729461
Low income,,2018,137311564
Lower middle income,,1990,348104178
Lower middle income,,1995,366807977
Lower middle income,,2000,378487215
Lower middle income,,2005,385452518
Lower middle income,,2010,396630043
Lower middle income,,2014,389747496
Lower middle income,,2016,460413405
Lower middle income,,2018,480923633
Madagascar,MDG,1990,2542003
Madagascar,MDG,1995,3079838
Madagascar,MDG,2000,3596213
Madagascar,MDG,2005,4258536
Madagascar,MDG,2010,5147623
Madagascar,MDG,2014,6289125
Madagascar,MDG,2016,6042987
Madagascar,MDG,2018,5977537
Malawi,MWI,1990,721874
Malawi,MWI,1995,866962
Malawi,MWI,2000,1081545
Malawi,MWI,2005,1262072
Malawi,MWI,2010,1557166
Malawi,MWI,2014,1752763
Malawi,MWI,2016,1902732
Malawi,MWI,2018,2000468
Maldives,MDV,2016,59458
Maldives,MDV,2018,61793
Mali,MLI,1990,1856389
Mali,MLI,1995,2074348
Mali,MLI,2000,2340397
Mali,MLI,2005,2699151
Mali,MLI,2010,3570209
Mali,MLI,2014,3736931
Mali,MLI,2016,3443619
Mali,MLI,2018,3814031
Mauritania,MRT,2014,1576768
Mauritania,MRT,2016,1719946
Mauritania,MRT,2018,1729969
Mexico,MEX,1990,13848762
Mexico,MEX,1995,14459078
Mexico,MEX,2000,14706089
Mexico,MEX,2005,11648224
Mexico,MEX,2014,10553007
Mexico,MEX,2016,15703200
Mexico,MEX,2018,16183917
Middle East and North Africa,,2016,62420682
Middle East and North Africa,,2018,70653656
Middle income,,1990,669919436
Middle income,,1995,708668583
Middle income,,2000,735324704
Middle income,,2005,746903439
Middle income,,2010,779922249
Middle income,,2014,742792612
Middle income,,2016,875491193
Middle income,,2018,859352603
Moldova,MDA,2016,756431
Moldova,MDA,2018,683455
Mongolia,MNG,1990,853291
Mongolia,MNG,1995,870694
Mongolia,MNG,2000,888946
Mongolia,MNG,2005,914164
Mongolia,MNG,2014,855737
Mongolia,MNG,2016,799475
Mongolia,MNG,2018,831054
Montenegro,MNE,2016,111543
Montenegro,MNE,2018,112663
Morocco,MAR,1990,4489712
Morocco,MAR,1995,4911762
Morocco,MAR,2000,3716420
Morocco,MAR,2005,2201265
Morocco,MAR,2010,2458213
Morocco,MAR,2014,2698986
Morocco,MAR,2016,2176902
Morocco,MAR,2018,2070115
Mozambique,MOZ,1990,2454598
Mozambique,MOZ,1995,3273731
Mozambique,MOZ,2000,4030284
Mozambique,MOZ,2005,4887639
Mozambique,MOZ,2010,6029529
Mozambique,MOZ,2014,7150905
Mozambique,MOZ,2016,7455148
Mozambique,MOZ,2018,8194798
Myanmar,MMR,2005,6237873
Myanmar,MMR,2014,6355517
Myanmar,MMR,2016,9031694
Myanmar,MMR,2018,9213565
Namibia,NAM,1990,136321
Namibia,NAM,1995,165493
Namibia,NAM,2000,196945
Namibia,NAM,2005,240705
Namibia,NAM,2010,295400
Namibia,NAM,2014,410477
Namibia,NAM,2016,478388
Namibia,NAM,2018,518147
Nepal,NPL,1990,1181767
Nepal,NPL,1995,1580288
Nepal,NPL,2000,2052729
Nepal,NPL,2005,2367321
Nepal,NPL,2010,2631683
Nepal,NPL,2014,2656381
Nepal,NPL,2016,2633762
Nepal,NPL,2018,2734224
Nicaragua,NIC,1990,1973610
Nicaragua,NIC,1995,1886720
Nicaragua,NIC,2000,1678499
Nicaragua,NIC,2005,1384170
Nicaragua,NIC,2014,1612683
Nicaragua,NIC,2016,1581974
Nicaragua,NIC,2018,1596739
Niger,NER,1990,1031229
Niger,NER,1995,1243926
Niger,NER,2000,1514988
Niger,NER,2005,1816780
Niger,NER,2010,2181904
Niger,NER,2014,2187516
Niger,NER,2016,2092853
Niger,NER,2018,2167506
Nigeria,NGA,1990,21844250
Nigeria,NGA,1995,25552101
Nigeria,NGA,2000,29652170
Nigeria,NGA,2005,35703159
Nigeria,NGA,2010,43211082
Nigeria,NGA,2014,41605042
Nigeria,NGA,2016,48796226
Nigeria,NGA,2018,53151414
North Macedonia,MKD,2016,99018
North Macedonia,MKD,2018,99885
Norway,NOR,2016,43
Norway,NOR,2018,44
Pakistan,PAK,1990,16786357
Pakistan,PAK,1995,19623985
Pakistan,PAK,2000,22863560
Pakistan,PAK,2005,25875391
Pakistan,PAK,2010,29261650
Pakistan,PAK,2014,31830118
Pakistan,PAK,2016,30103784
Pakistan,PAK,2018,31204065
Panama,PAN,2005,487773
Panama,PAN,2014,668049
Panama,PAN,2016,598010
Panama,PAN,2018,625014
Paraguay,PRY,2005,590762
Paraguay,PRY,2014,702415
Paraguay,PRY,2018,732546
Peru,PER,1990,10097739
Peru,PER,1995,9706403
Peru,PER,2000,8929015
Peru,PER,2005,7548177
Peru,PER,2014,7941802
Peru,PER,2016,8105152
Peru,PER,2018,8249141
Philippines,PHL,1990,15791560
Philippines,PHL,1995,16505668
Philippines,PHL,2000,16983267
Philippines,PHL,2005,17243902
Philippines,PHL,2010,17422183
Philippines,PHL,2014,17744206
Philippines,PHL,2016,20957324
Philippines,PHL,2018,21461571
Poland,POL,2016,2285
Poland,POL,2018,2281
Portugal,PRT,2016,238218
Portugal,PRT,2018,241423
Romania,ROU,2016,1529211
Romania,ROU,2018,1272382
Rwanda,RWA,1990,378975
Rwanda,RWA,1995,504666
Rwanda,RWA,2000,943793
Rwanda,RWA,2005,1070461
Rwanda,RWA,2010,1106740
Rwanda,RWA,2014,1000457
Rwanda,RWA,2016,905557
Rwanda,RWA,2018,891380
Saint Lucia,LCA,2005,4489
Saint Lucia,LCA,2014,3922
Saint Lucia,LCA,2016,3976
Saint Lucia,LCA,2018,3805
Sao Tome and Principe,STP,2014,117316
Sao Tome and Principe,STP,2016,125114
Sao Tome and Principe,STP,2018,131668
Saudi Arabia,SAU,2005,3471498
Saudi Arabia,SAU,2014,4616715
Saudi Arabia,SAU,2018,4577754
Senegal,SEN,1990,2066767
Senegal,SEN,1995,2058210
Senegal,SEN,2000,1931768
Senegal,SEN,2005,2003116
Senegal,SEN,2010,2153246
Senegal,SEN,2014,2498889
Senegal,SEN,2016,2047712
Senegal,SEN,2018,2207182
Serbia,SRB,2016,141813
Serbia,SRB,2018,141001
Sierra Leone,SLE,2005,2021781
Sierra Leone,SLE,2014,2144904
Sierra Leone,SLE,2016,1806879
Sierra Leone,SLE,2018,1901406
Slovenia,SVN,2016,41275
Slovenia,SVN,2018,41852
Somalia,SOM,2005,2788118
Somalia,SOM,2010,3484557
Somalia,SOM,2014,4216578
Somalia,SOM,2016,4574665
Somalia,SOM,2018,4866280
South Africa,ZAF,1990,8847245
South Africa,ZAF,1995,8962946
South Africa,ZAF,2000,8493418
South Africa,ZAF,2005,8181277
South Africa,ZAF,2010,7329220
South Africa,ZAF,2014,8068045
South Africa,ZAF,2016,9659106
South Africa,ZAF,2018,9817147
South Asia,,1990,161697619
South Asia,,1995,169814846
South Asia,,2000,173423561
South Asia,,2005,175248021
South Asia,,2010,175646711
South Asia,,2014,170165053
South Asia,,2016,223661349
South Asia,,2018,232253718
South Sudan,SSD,2014,1879450
South Sudan,SSD,2016,2012305
South Sudan,SSD,2018,1967775
Spain,ESP,2016,2894804
Spain,ESP,2018,2067363
Sub-Saharan Africa,,1990,93579341
Sub-Saharan Africa,,1995,110212323
Sub-Saharan Africa,,2000,128993046
Sub-Saharan Africa,,2005,156392379
Sub-Saharan Africa,,2010,179237226
Sub-Saharan Africa,,2014,203944146
Sub-Saharan Africa,,2016,217897387
Sub-Saharan Africa,,2018,232210940
Sudan,SDN,2014,11719572
Sudan,SDN,2016,12726177
Sudan,SDN,2018,12801104
Suriname,SUR,2005,12989
Suriname,SUR,2014,26693
Suriname,SUR,2016,22010
Suriname,SUR,2018,22449
Sweden,SWE,2016,86
Sweden,SWE,2018,89
Syria,SYR,2005,1036876
Syria,SYR,2014,1859751
Syria,SYR,2016,1411874
Syria,SYR,2018,3478380
Tajikistan,TJK,2016,604827
Tajikistan,TJK,2018,642050
Tanzania,TZA,1990,3683849
Tanzania,TZA,1995,4488934
Tanzania,TZA,2000,5238805
Tanzania,TZA,2005,6343181
Tanzania,TZA,2010,7916916
Tanzania,TZA,2014,7827985
Tanzania,TZA,2016,7152554
Tanzania,TZA,2018,7627192
Thailand,THA,2005,6362941
Thailand,THA,2010,7956645
Thailand,THA,2014,8031800
Thailand,THA,2016,8220145
Thailand,THA,2018,8218880
Timor,TLS,2016,123746
Timor,TLS,2018,129499
Togo,TGO,2005,1226138
Togo,TGO,2014,1446476
Togo,TGO,2016,1617106
Togo,TGO,2018,1786421
Trinidad and Tobago,TTO,2005,176024
Trinidad and Tobago,TTO,2014,179733
Trinidad and Tobago,TTO,2016,39612
Trinidad and Tobago,TTO,2018,39915
Tunisia,TUN,2014,599820
Tunisia,TUN,2016,618063
Tunisia,TUN,2018,653838
Turkey,TUR,1990,7470052
Turkey,TUR,1995,7521043
Turkey,TUR,2000,7328678
Turkey,TUR,2005,7140185
Turkey,TUR,2010,6659327
Turkey,TUR,2014,6715982
Turkey,TUR,2016,4793547
Turkey,TUR,2018,5321062
Uganda,UGA,1990,1441630
Uganda,UGA,1995,1966706
Uganda,UGA,2000,2622685
Uganda,UGA,2005,3131769
Uganda,UGA,2010,3777616
Uganda,UGA,2014,4254476
Uganda,UGA,2016,4260859
Uganda,UGA,2018,4906507
Ukraine,UKR,2016,5913281
Ukraine,UKR,2018,5879856
Upper middle income,,1990,316842702
Upper middle income,,1995,338524136
Upper middle income,,2000,353975597
Upper middle income,,2005,360404942
Upper middle income,,2010,377867942
Upper middle income,,2014,352240142
Upper middle income,,2018,371018356
Uzbekistan,UZB,2016,8420362
Uzbekistan,UZB,2018,8683773
Venezuela,VEN,2005,7439486
Venezuela,VEN,2014,8473945
Venezuela,VEN,2016,9185106
Venezuela,VEN,2018,11237009
Vietnam,VNM,1990,8332364
Vietnam,VNM,1995,9066141
Vietnam,VNM,2000,9504954
Vietnam,VNM,2005,9445470
Vietnam,VNM,2010,9418507
Vietnam,VNM,2014,8260924
Vietnam,VNM,2016,4653405
Vietnam,VNM,2018,4736043
World,OWID_WRL,2000,1131912277
World,OWID_WRL,2005,1136275789
World,OWID_WRL,2010,1185422574
World,OWID_WRL,2014,1149532963
World,OWID_WRL,2018,1228313441
Yemen,YEM,2005,3909885
Yemen,YEM,2014,5364138
Yemen,YEM,2016,5423377
Yemen,YEM,2018,6912926
Zambia,ZMB,1990,1805236
Zambia,ZMB,1995,1927242
Zambia,ZMB,2000,2073475
Zambia,ZMB,2005,2503220
Zambia,ZMB,2010,3068207
Zambia,ZMB,2014,3441281
Zambia,ZMB,2016,4395755
Zambia,ZMB,2018,4123195
Zimbabwe,ZWE,1990,120966
Zimbabwe,ZWE,1995,133971
Zimbabwe,ZWE,2000,132361
Zimbabwe,ZWE,2005,737366
Zimbabwe,ZWE,2010,1015848
Zimbabwe,ZWE,2014,1108472
Zimbabwe,ZWE,2016,1282340
Zimbabwe,ZWE,2018,1557950